accession,lat_parsed,lon_parsed,depth_parsed,depth2_parsed,is_transcriptome
ERR3586849,22.7546,-158.0067,746.0,746.0,1
ERR3586851,22.7546,-158.0067,746.0,746.0,1
ERR3586852,31.528,-159.0224,550.0,550.0,1
ERR3586853,31.528,-159.0224,550.0,550.0,1
ERR3586854,31.528,-159.0224,550.0,550.0,1
ERR3586855,31.528,-159.0224,550.0,550.0,1
ERR3586856,31.528,-159.0224,550.0,550.0,1
ERR3586857,31.528,-159.0224,550.0,550.0,1
ERR3586858,29.6394,-79.5395,5.0,5.0,1
ERR3586859,29.6394,-79.5395,5.0,5.0,1
ERR3586860,29.6394,-79.5395,5.0,5.0,1
ERR3586861,29.6394,-79.5395,5.0,5.0,1
ERR3586862,29.6394,-79.5395,5.0,5.0,1
ERR3586863,29.6394,-79.5395,5.0,5.0,1
ERR3586864,29.6394,-79.5395,5.0,5.0,1
ERR3586865,29.6394,-79.5395,5.0,5.0,1
ERR3586866,36.3698,-72.9669,5.0,5.0,1
ERR3586867,36.3698,-72.9669,5.0,5.0,1
ERR3586868,36.3698,-72.9669,5.0,5.0,1
ERR3586869,36.3698,-72.9669,5.0,5.0,1
ERR3586870,36.3698,-72.9669,5.0,5.0,1
ERR3586871,36.3698,-72.9669,5.0,5.0,1
ERR3586872,36.3698,-72.9669,5.0,5.0,1
ERR3586873,36.3698,-72.9669,5.0,5.0,1
ERR3586874,43.7899,-16.9692,25.0,25.0,1
ERR3586875,43.7899,-16.9692,25.0,25.0,1
ERR3586876,43.7899,-16.9692,25.0,25.0,1
ERR3586877,43.7899,-16.9692,25.0,25.0,1
ERR3586878,43.7899,-16.9692,25.0,25.0,1
ERR3586879,43.7899,-16.9692,25.0,25.0,1
ERR3586880,43.7899,-16.9692,25.0,25.0,1
ERR3586881,43.7899,-16.9692,25.0,25.0,1
ERR3586882,44.0497,-16.6034,25.0,25.0,1
ERR3586883,44.0497,-16.6034,25.0,25.0,1
ERR3586884,44.0497,-16.6034,25.0,25.0,1
ERR3586885,44.0497,-16.6034,25.0,25.0,1
ERR3586887,44.0497,-16.6034,25.0,25.0,1
ERR3586888,44.0497,-16.6034,25.0,25.0,1
ERR3586889,44.0497,-16.6034,25.0,25.0,1
ERR3586890,-29.7238,-101.1604,5.0,5.0,1
ERR3586891,-29.668,-101.2285,155.0,155.0,1
ERR3586892,-28.1698,-107.3833,5.0,5.0,1
ERR3586893,-28.1762,-107.4021,310.0,310.0,1
ERR3586894,-28.1874,-107.6385,175.0,175.0,1
ERR3586895,-25.8051,-111.7202,5.0,5.0,1
ERR3586896,-25.826,-111.7294,188.0,188.0,1
ERR3586897,-25.8076,-111.6906,488.0,488.0,1
ERR3586898,-21.146,-104.787,5.0,5.0,1
ERR3586899,-2.0133,-84.589,5.0,5.0,1
ERR3586900,-1.8902,-84.6141,380.0,380.0,1
ERR3586901,-23.2811,-129.3947,5.0,5.0,1
ERR3586902,-23.2189,-129.4997,155.0,155.0,1
ERR3586903,31.5213,-158.9958,5.0,5.0,1
ERR3586904,31.5213,-158.9958,5.0,5.0,1
ERR3586905,31.5213,-158.9958,5.0,5.0,1
ERR3586906,31.5213,-158.9958,5.0,5.0,1
ERR3586907,31.5213,-158.9958,5.0,5.0,1
ERR3586908,31.5213,-158.9958,5.0,5.0,1
ERR3586909,31.5213,-158.9958,5.0,5.0,1
